Course,Prerequesites
MATH456,"['CMSC106', 'CMSC131', 'ENEE150', 'CMSC330', 'CMSC351', 'ENEE324', 'ENEE380']"
MATH461,"['MATH141', 'MATH141']"
MATH462,"['MATH241', 'MATH340', 'MATH246', 'MATH341']"
MATH463,"['MATH241', 'MATH340']"
MATH464,"['MATH246', 'MATH341']"
MATH475,"['MATH240', 'MATH341', 'MATH461', 'MATH241', 'MATH340']"
MATH489,[]
MATH498A,[]
MATH600,"['MATH405', 'MATH403']"
MATH602,['MATH600']
MATH606,"['MATH600', 'MATH601']"
MATH630,['MATH411']
MATH634,['MATH630']
MATH642,"['MATH432', 'MATH630']"
MATH669,[]
MATH673,['MATH411']
MATH689,[]
MATH695,[]
MATH712,[]
MATH730,"['MATH403', 'MATH410', 'MATH411']"
MATH742,"['MATH673', 'MATH674', 'MATH740']"
MATH799,[]
MATH808A,[]
MATH808J,[]
MATH808L,[]
MATH818A,[]
MATH818T,[]
MATH838D,[]
MATH848A,[]
MATH848N,[]
MATH848T,[]
MATH858A,[]
MATH858I,[]
MATH868A,[]
MATH898,[]
MATH899,[]
NEUR200,"['BSCI170', 'BSCI171']"
NEUR305,"['MATH120', 'NEUR200', 'BSCI353']"
NEUR306,"['NEUR200', 'BSCI207', 'BSCI330']"
NEUR329,[]
NEUR379,[]
NEUR379H,[]
NEUR398H,[]
NEUR405,"['NEUR306', 'BSCI353', 'PHYS132']"
NEUR479,[]
NEUR479H,[]
PHYS102,['MATH107']
PHYS103,[]
PHYS105,[]
PHYS115,[]
PHYS121,"['MATH113', 'MATH115']"
PHYS122,['PHYS121']
PHYS131,"['CHEM131', 'MATH136', 'MATH140', 'BSCI160', 'BSCI161', 'BSCI106', 'BSCI170', 'BSCI171', 'BSCI105']"
PHYS132,['PHYS131']
PHYS161,['MATH141']
PHYS170,[]
PHYS171,['MATH140']
PHYS171H,['MATH140']
PHYS172,[]
PHYS174,[]
PHYS235,[]
PHYS260,"['PHYS161', 'MATH141']"
PHYS260H,"['PHYS161', 'MATH141']"
PHYS261,['PHYS161']
PHYS265,"['PHYS171', 'PHYS141', 'PHYS161']"
PHYS270,"['PHYS261', 'MATH241', 'PHYS260']"
PHYS271,['PHYS261']
PHYS272,"['PHYS161', 'PHYS171', 'MATH141', 'MATH241']"
PHYS272H,"['PHYS161', 'PHYS171', 'MATH141', 'MATH241']"
PHYS273,"['MATH241', 'PHYS272', 'PHYS274', 'MATH243', 'MATH246']"
PHYS273H,"['MATH241', 'PHYS272', 'PHYS274', 'MATH243', 'MATH246']"
PHYS275,"['PHYS171', 'PHYS161']"
PHYS276,"['PHYS272', 'PHYS275']"
PHYS299,[]
PHYS299E,[]
PHYS299W,[]
PHYS313,"['MATH241', 'PHYS273', 'PHYS274', 'MATH240', 'MATH243', 'MATH246']"
PHYS331,"['CHEM131', 'MATH131', 'MATH136', 'BSCI160', 'BSCI161', 'BSCI106', 'BSCI170', 'BSCI171', 'BSCI105']"
PHYS371,"['PHYS273', 'PHYS274', 'MATH243', 'MATH246']"
PHYS375,"['PHYS276', 'PHYS273']"
PHYS386,[]
PHYS389,[]
PHYS398,[]
PHYS399,[]
PHYS401,"['PHYS371', 'PHYS313', 'PHYS373']"
PHYS402,['PHYS401']
PHYS404,"['PHYS371', 'PHYS420']"
PHYS405,['PHYS375']
PHYS407,"['PHYS499', 'PHYS375']"
PHYS410,"['PHYS265', 'PHYS273', 'MATH243', 'MATH246']"
PHYS413,"['PHYS313', 'PHYS412']"
PHYS431,"['PHYS271', 'PHYS270', 'MATH241']"
PHYS467,"['MATH141', 'MATH240', 'PHYS360', 'PHYS401', 'PHYS457', 'ENEE491']"
PHYS485,"['PHYS272', 'PHYS276']"
PHYS488P,[]
PHYS499A,[]
PHYS499B,[]
PHYS499V,[]
PHYS610,[]
PHYS612,[]
PHYS624,"['PHYS613', 'PHYS623']"
PHYS625,"['PHYS612', 'PHYS613']"
PHYS675,"['PHYS606', 'PHYS601']"
PHYS685,[]
PHYS688P,[]
PHYS709,[]
PHYS715,['PHYS601']
PHYS728J,[]
PHYS738,[]
PHYS739,[]
PHYS749,[]
PHYS758E,[]
PHYS759,[]
PHYS761,"['PHYS606', 'PHYS604']"
PHYS769,[]
PHYS778,[]
PHYS798,[]
PHYS798B,[]
PHYS798L,[]
PHYS798Q,[]
PHYS799,[]
PHYS838C,[]
PHYS839A,[]
PHYS859C,[]
PHYS898,[]
PHYS899,[]
PLSC115,[]
PLSC201,"['PLSC110', 'PLSC111', 'PLSC112', 'PLSC113', 'CHEM131', 'CHEM132']"
PLSC203,"['BSCI103', 'BSCI170', 'BSCI171']"
PLSC205,[]
PLSC206,['PLSC201']
PLSC253,"['PLSC110', 'PLSC111']"
PLSC389,[]
PLSC399,[]
PLSC404,"['BSCI170', 'BSCI171', 'PLSC201', 'PLSC206']"
PLSC420,"['CHEM131', 'CHEM132', 'PLSC201']"
PLSC433,"['PLSC201', 'PLSC271', 'ENST200']"
PLSC489E,[]
PLSC489R,[]
PLSC608,[]
PLSC608T,[]
PLSC799,[]
PLSC898,[]
PLSC899,[]
STAT100,"['MATH110', 'MATH112', 'MATH113', 'MATH115', 'STAT100']"
STAT110,"['DATA100', 'STAT100', 'MATH135']"
STAT386,[]
STAT400,"['MATH131', 'MATH141']"
STAT401,"['STAT400', 'STAT410']"
STAT410,"['MATH240', 'MATH461', 'MATH341', 'MATH340', 'MATH241']"
STAT420,"['SURV410', 'STAT410']"
STAT426,"['MATH241', 'MATH340', 'MATH240', 'MATH461', 'MATH341', 'STAT400', 'STAT410', 'STAT400']"
STAT430,"['STAT400', 'STAT410', 'STAT401', 'STAT420', 'STAT401', 'STAT420']"
STAT440,"['STAT401', 'STAT420']"
STAT464,[]
STAT470,"['MATH240', 'MATH461', 'MATH341', 'MATH340', 'MATH241']"
STAT498A,[]
STAT600,['STAT410']
STAT689,[]
STAT700,['STAT410']
STAT702,"['STAT410', 'STAT420']"
STAT705,"['STAT700', 'STAT420']"
STAT740,"['STAT700', 'STAT420']"
STAT799,[]
STAT808A,[]
STAT818A,[]
STAT818E,[]
STAT818T,[]
STAT898,[]
STAT899,[]
INST101,[]
INST104,[]
INST123,[]
INST126,['STAT100']
INST151,[]
INST152,[]
INST153,[]
INST154,[]
INST155,[]
INST156,[]
INST201,[]
INST204,[]
INST204S,[]
INST210,[]
INST227,[]
INST228,[]
INST301,[]
INST309,[]
INST311,"['PSYC100', 'SOCY105']"
INST314,"['INST126', 'GEOG276', 'STAT100', 'MATH115']"
INST320,[]
INST326,"['INST126', 'GEOG276']"
INST327,"['INST126', 'GEOG276']"
INST335,"['INST201', 'INST301', 'PSYC100']"
INST341,['INST311']
INST346,"['INST201', 'INST301', 'INST326', 'INST327']"
INST347,['INST346']
INST352,"['INST201', 'INST301', 'INST311']"
INST354,"['INST201', 'INST301', 'INST314', 'PSYC100']"
INST362,"['INST201', 'INST301', 'PSYC100', 'SOCY105', 'INST326', 'STAT100']"
INST363,[]
INST364,"['INST201', 'INST301', 'INST327', 'STAT100', 'MATH115', 'PSYC100']"
INST366,"['INST126', 'GEOG276', 'STAT100', 'AASP101', 'ANTH210', 'ANTH260', 'ECON200', 'ECON201', 'GEOG202', 'GVPT170', 'PSYC100', 'SOCY100', 'SOCY105']"
INST367,['INST380']
INST377,"['INST201', 'INST301', 'BSOS233', 'INST327', 'STAT100', 'MATH115']"
INST380,"['INST201', 'INST126', 'STAT100', 'PSYC100', 'SOCY105']"
INST381,"['PSYC100', 'SOCY105', 'INST126', 'INST201', 'STAT100', 'MATH115']"
INST388E,[]
INST388F,[]
INST402,"['INST362', 'INST367']"
INST405,"['INST126', 'STAT100', 'INST201', 'PSYC100', 'SOCY105']"
INST406,['INST380']
INST407,[]
INST408I,[]
INST408R,[]
INST408V,[]
INST408Z,[]
INST410,"['INST126', 'STAT100', 'PSYC100', 'SOCY105', 'INST201', 'INST301', 'MATH115']"
INST414,"['MATH115', 'STAT100', 'INST126', 'GEOG276', 'INST201', 'INST301', 'BSOS233', 'AASP101', 'ANTH210', 'ANTH260', 'ECON200', 'ECON201', 'GEOG202', 'GVPT170', 'PSYC100', 'SOCY100', 'BSOS233', 'INST314']"
INST441,"['INST341', 'INST380']"
INST442,"['INST341', 'INST380']"
INST447,"['STAT100', 'INST327', 'INST201', 'INST301', 'BSOS233', 'AASP101', 'ANTH210', 'ANTH260', 'ECON200', 'ECON201', 'GEOG202', 'GVPT170', 'PSYC100', 'SOCY100', 'BSOS233', 'INST314', 'BSOS331', 'GEOG273', 'INST326']"
INST451,"['INST126', 'INST201', 'STAT100', 'PSYC100', 'SOCY105']"
INST453,[]
INST454,"['INST104', 'INST126', 'INST204', 'INST380', 'INST367']"
INST455,[]
INST461,[]
INST462,"['STAT100', 'INST201', 'INST301', 'BSOS233', 'INST126', 'GEOG276', 'AASP101', 'ANTH210', 'ANTH260', 'ECON200', 'ECON201', 'GEOG202', 'GVPT170', 'PSYC100', 'SOCY100', 'SOCY105', 'BSOS233', 'INST314']"
INST464,"['INST201', 'INST126', 'MATH115', 'PSYC100', 'INST364']"
INST466,"['INST201', 'INST301', 'PSYC100', 'SOCY105']"
INST490,"['INST311', 'INST314', 'INST326', 'INST327', 'INST335', 'INST346', 'INST352', 'INST362']"
INST600,[]
INST604,[]
INST607,[]
INST608Q,[]
INST610,[]
INST611,[]
INST613,[]
INST615,[]
INST620,[]
INST627,[]
INST630,[]
INST631,[]
INST639N,[]
INST643,[]
INST650,[]
INST651,[]
INST653,[]
INST661,[]
INST680,"['INFM600', 'LBSC602']"
INST704,['INST631']
INST705,[]
INST709,[]
INST710,[]
INST711,[]
INST728D,[]
INST728F,[]
INST731,['INST661']
INST735,['CMSC422']
INST737,"['INST627', 'LBSC690', 'LBSC671', 'INFM603', 'JOUR652']"
INST752,"['INFM600', 'INFM603', 'INST630', 'INST733']"
INST753,"['INFM600', 'INFM603', 'INST733']"
INST754,"['INFM600', 'INST630', 'INST733', 'INFM603', 'JOUR652']"
INST760,"['INST630', 'INFM603']"
INST764,[]
INST771,[]
INST775,"['INST631', 'INST632', 'INST717']"
INST782,['INST604']
INST784,['INST604']
INST787,"['AMST856', 'ANTH856', 'HIST810']"
INST799,[]
INST800,[]
INST801,[]
INST818,[]
INST878D,[]
INST898,[]
INST899,[]
DATA110,"['DATA100', 'STAT100', 'MATH135']"
DATA120,"['STAT100', 'MATH135']"
DATA200,"['STAT100', 'MATH135']"
DATA250,"['DATA110', 'DATA120', 'MATH141']"
DATA350,"['DATA100', 'STAT100', 'MATH135', 'DATA110', 'DATA120']"
DATA400,"['MATH131', 'MATH141']"
DATA601,[]
DATA602,[]
DATA603,[]
