Course,Prerequesites
CHBE494,"['CHBE424', 'CHBE426', 'CHBE440']"
CHBE608,[]
CHBE609,[]
CHBE610,"['CHBE301', 'CHBE302']"
CHBE620,"['MATH246', 'CHBE250']"
CHBE648,[]
CHBE652,[]
CHBE672,[]
CHBE673,[]
CHBE690,['ENCH640']
CHBE799,[]
CHBE898,[]
CHBE899,[]
CHEM131,['MATH120']
CHEM132,['MATH120']
CHEM132C,['MATH120']
CHEM132S,['MATH120']
CHEM134,"['CHEM131', 'CHEM146']"
CHEM135,['MATH120']
CHEM136,"['CHEM135', 'MATH120']"
CHEM146,['MATH140']
CHEM177,['MATH120']
CHEM231,"['CHEM131', 'CHEM135', 'CHEM146', 'CHEM132', 'CHEM136', 'CHEM147', 'CHEM177']"
CHEM232,"['CHEM131', 'CHEM132', 'CHEM135', 'CHEM136', 'CHEM146', 'CHEM147']"
CHEM241,"['CHEM231', 'CHEM232', 'CHEM237']"
CHEM242,"['CHEM231', 'CHEM232', 'CHEM237']"
CHEM247,['CHEM237']
CHEM271,"['CHEM241', 'CHEM242', 'CHEM247']"
CHEM272,"['CHEM241', 'CHEM242', 'CHEM247']"
CHEM277,"['CHEM241', 'CHEM242', 'CHEM247']"
CHEM398,[]
CHEM399A,[]
CHEM399B,[]
CHEM399C,[]
CHEM399X,[]
CHEM403,[]
CHEM425,"['CHEM272', 'CHEM271', 'CHEM276', 'CHEM277']"
CHEM441,"['CHEM480', 'CHEM481', 'CHEM241', 'CHEM247']"
CHEM460,"['CHEM243', 'CHEM247', 'CHEM241', 'CHEM242']"
CHEM480,"['CHEM276', 'CHEM271', 'CHEM277', 'CHEM272', 'MATH140', 'MATH136', 'PHYS260', 'PHYS261', 'PHYS132']"
CHEM481,"['CHEM135', 'CHEM271', 'CHEM272', 'CHEM276', 'CHEM277', 'MATH141', 'PHYS260', 'PHYS261', 'PHYS141']"
CHEM482,"['CHEM135', 'CHEM271', 'CHEM272', 'CHEM276', 'CHEM277', 'MATH141', 'PHYS260', 'PHYS261', 'PHYS141']"
CHEM483,['CHEM481']
CHEM484,['CHEM482']
CHEM601,[]
CHEM608K,[]
CHEM611,[]
CHEM625,['CHEM482']
CHEM640,[]
CHEM641,[]
CHEM684,['CHEM482']
CHEM690,[]
CHEM699,[]
CHEM799,[]
CHEM889A,[]
CHEM889C,[]
CHEM889D,[]
CHEM889E,[]
CHEM889F,[]
CHEM889M,[]
CHEM898,[]
CHEM899,[]
CMSC100,[]
CMSC106,['MATH115']
CMSC122,[]
CMSC125,['MATH115']
CMSC131,[]
CMSC132,"['CMSC131', 'MATH140']"
CMSC133,['MATH140']
CMSC216,"['CMSC132', 'MATH141']"
CMSC250,"['CMSC131', 'MATH141']"
CMSC298A,[]
CMSC320,"['CMSC216', 'CMSC250']"
CMSC330,"['CMSC250', 'CMSC216']"
CMSC335,"['CMSC216', 'CMSC250']"
CMSC351,"['CMSC250', 'CMSC216']"
CMSC396H,[]
CMSC411,['CMSC330']
CMSC412,"['CMSC330', 'CMSC351', 'CMSC414', 'CMSC417', 'CMSC420', 'CMSC430', 'CMSC433', 'CMSC435', 'ENEE440', 'ENEE457']"
CMSC414,"['CMSC330', 'CMSC351']"
CMSC416,"['CMSC330', 'CMSC351']"
CMSC417,"['CMSC351', 'CMSC330']"
CMSC420,"['CMSC351', 'CMSC330']"
CMSC421,"['CMSC351', 'CMSC330']"
